FIT_log_likelihood,absolute_error_Delta,absolute_error_G,absolute_error_Omega,absolute_error_R,baseline_guard_hit_count,baseline_guard_hits,converged,delta_LS_ar1,delta_LS_narrative,delta_LS_persistence,error,fitted_Delta,fitted_G,fitted_Omega,fitted_R,fitted_local_regime,holdout_LS_RCWE,holdout_MAE_RCWE,optimizer_agreement,optimizer_reported_successful_starts,regime_recovered,scenario,seed,stationary_starts,successful_starts,top_two_log_likelihood_gap,truth_Delta,truth_G,truth_Omega,truth_R,truth_regime
-22.162139112583457,0.01825112709814658,0.004656792138993726,0.02836610202036205,0.000622977574632616,0,,False,5.872477495865294,6.646796191870603,13.720646612587352,,0.5182511270981466,1.1953432078610065,12.028366102020362,0.09937702242536739,oscillatory,-17.117725578574877,0.10251795467799237,False,2,True,strong_oscillatory,260901,2,1,,0.5,1.2000000000000002,12.0,0.1,oscillatory
-34.03500903106434,0.012261224370468171,0.01805845645044868,0.019880006548518736,0.00134142694767507,0,,True,10.342579946897855,10.652231061566985,21.14118764296095,,0.48773877562953183,1.1819415435495515,11.980119993451481,0.09865857305232494,oscillatory,-11.474700913642005,0.09586668063087347,True,3,True,strong_oscillatory,260902,2,2,3.552713678800501e-14,0.5,1.2000000000000002,12.0,0.1,oscillatory
-19.664923153392312,0.014411239566305634,0.06053614048556444,0.1596197507750059,0.0036657532325567177,0,,True,3.4987347924534937,4.32039678974823,13.728604139837259,,0.5144112395663056,1.2605361404855646,12.159619750775006,0.10366575323255672,oscillatory,-19.95253731741451,0.09974820601017512,True,3,True,strong_oscillatory,260903,2,2,1.2398970739013748e-12,0.5,1.2000000000000002,12.0,0.1,oscillatory
-34.321902468636225,0.00110032251428005,0.015047496123118398,0.026893445445233866,0.0014747649297881527,0,,True,0.2746853455819078,0.4355335171748784,10.663178270186396,,0.50110032251428,1.1849525038768818,12.026893445445234,0.09852523507021185,oscillatory,-21.981138979564495,0.14038862659833495,True,3,True,strong_oscillatory,260904,2,2,2.1316282072803006e-13,0.5,1.2000000000000002,12.0,0.1,oscillatory
-38.99523206701265,0.006262447948887917,0.08541002784400309,0.18054102203209332,0.00552979752861231,0,,True,5.796122636362071,8.348510002757227,13.350169677307502,,0.4937375520511121,1.2854100278440033,12.180541022032093,0.10552979752861232,oscillatory,-19.098193963990628,0.10666885928418732,True,4,True,strong_oscillatory,260905,3,3,2.7711166694643907e-13,0.5,1.2000000000000002,12.0,0.1,oscillatory
-36.913716716719186,0.01677575748724347,0.013885786599935113,0.059797373602021864,0.0006621369408131988,0,,True,14.092377954833047,17.60431892263541,21.368316806227828,,0.5167757574872435,1.186114213400065,11.940202626397978,0.0993378630591868,oscillatory,-11.27749682640798,0.08848701314610954,True,3,True,strong_oscillatory,260906,2,2,2.7711166694643907e-13,0.5,1.2000000000000002,12.0,0.1,oscillatory
-33.96853493861357,0.006303888151407366,0.02793618355978933,0.12431818591511679,0.0012787824214551963,0,,True,13.066351756251894,13.218795195602961,22.1463208223032,,0.49369611184859263,1.2279361835597895,12.124318185915117,0.1012787824214552,oscillatory,-8.85433839971725,0.0751539809310526,True,3,True,strong_oscillatory,260907,2,2,1.1226575225009583e-12,0.5,1.2000000000000002,12.0,0.1,oscillatory
-23.943880917708796,0.008634355212899347,0.07268849029082425,0.20252477893102672,0.004297144512933754,0,,False,10.052587134938443,10.218990393120373,22.296634669351775,,0.5086343552128993,1.2726884902908244,12.202524778931027,0.10429714451293376,oscillatory,-15.026151721797026,0.08150610553917123,False,2,True,strong_oscillatory,260908,1,1,,0.5,1.2000000000000002,12.0,0.1,oscillatory
-35.88217483565957,0.0068664731625422415,0.03852048627972371,0.1473134539961034,0.0019583870104453033,0,,True,11.77827460247511,12.520679365968741,21.28598692465698,,0.49313352683745776,1.2385204862797239,12.147313453996103,0.10195838701044531,oscillatory,-10.9189311995481,0.08315271608656014,True,3,True,strong_oscillatory,260909,3,3,2.1316282072803006e-14,0.5,1.2000000000000002,12.0,0.1,oscillatory
-37.36251645297677,0.010386287626982738,0.012722306135930506,0.0036312077580387125,0.0010296205494999683,0,,False,6.185930936826908,6.122658003771464,14.308313469755218,,0.48961371237301726,1.2127223061359307,12.003631207758039,0.10102962054949997,oscillatory,-14.441736088551822,0.10286970303321685,False,4,True,strong_oscillatory,260910,1,1,,0.5,1.2000000000000002,12.0,0.1,oscillatory
